ID,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
3459,Jan,4,Monday,Honda,Urban,Tuesday,Jan,4,Male,Married,46,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3460,4,400,4,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
2753,Oct,1,Saturday,Honda,Urban,Monday,Oct,1,Male,Single,36,Third Party,Sedan - Liability,Sport,more than 69000,0,2754,15,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
11235,Mar,5,Thursday,Honda,Urban,Tuesday,Apr,1,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,11236,3,400,4,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,4 to 8 years,2 vehicles,1995,Liability
12523,Mar,2,Sunday,Honda,Urban,Thursday,Mar,3,Female,Single,30,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12524,10,400,3,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision
13468,Nov,4,Sunday,Mazda,Urban,Tuesday,Nov,5,Male,Married,59,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,13469,12,400,3,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,1 to 2,1 year,1 vehicle,1996,Collision
3080,Jul,3,Saturday,Toyota,Urban,Monday,Jul,3,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3081,16,400,3,more than 30,more than 30,none,6 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
7797,Mar,5,Monday,Mazda,Urban,Monday,Mar,5,Female,Single,28,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,7798,12,400,3,more than 30,more than 30,1,3 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision
3695,Jan,4,Wednesday,Pontiac,Urban,Friday,Feb,1,Female,Married,32,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,3696,16,400,2,none,15 to 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
4507,Nov,4,Monday,Honda,Urban,Monday,Nov,5,Male,Single,38,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,4508,11,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision
15364,Jan,1,Tuesday,Toyota,Urban,Tuesday,Jan,2,Male,Married,53,Third Party,Sedan - All Perils,Sedan,less than 20000,0,15365,8,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils
1530,Apr,1,Sunday,Honda,Urban,Monday,Apr,3,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,1531,13,400,2,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,2 to 3 years,1 vehicle,1994,Liability
12079,May,2,Wednesday,Pontiac,Urban,Wednesday,Jun,3,Male,Married,35,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,12080,14,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Collision
3891,Feb,4,Tuesday,Dodge,Urban,Tuesday,Feb,4,Male,Married,39,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,3892,14,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
11608,Aug,3,Monday,Mazda,Urban,Friday,Aug,3,Male,Single,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11609,6,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision
9875,Sep,3,Thursday,Mazda,Urban,Tuesday,Sep,3,Male,Single,54,Third Party,Sedan - Liability,Sport,20000 to 29000,0,9876,12,400,4,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability
5774,Apr,3,Sunday,Honda,Urban,Friday,Apr,4,Male,Married,34,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,5775,14,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
12973,Aug,4,Thursday,Mazda,Urban,Monday,Sep,1,Male,Single,26,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12974,12,400,1,none,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision
14773,Sep,4,Saturday,Mazda,Urban,Tuesday,Oct,1,Male,Single,30,Policy Holder,Sport - Collision,Sport,more than 69000,0,14774,8,400,2,more than 30,more than 30,2 to 4,5 years,31 to 35,Yes,No,External,1 to 2,no change,1 vehicle,1996,Collision
3673,Jan,3,Tuesday,Mazda,Rural,Thursday,Jan,3,Male,Married,30,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,3674,3,400,3,more than 30,more than 30,1,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
6056,Oct,2,Saturday,Honda,Rural,Thursday,Oct,3,Male,Married,37,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,6057,7,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
6783,Jan,5,Sunday,Mazda,Urban,Thursday,Feb,1,Female,Single,53,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,6784,8,500,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,2 to 3 years,2 vehicles,1995,Collision
4483,Nov,4,Saturday,VW,Urban,Wednesday,Nov,5,Male,Married,80,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,4484,3,400,2,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,Liability
1309,Oct,1,Tuesday,Chevrolet,Urban,Wednesday,Oct,1,Male,Married,64,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,1310,4,400,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision
14807,Sep,5,Thursday,Mazda,Urban,Thursday,Sep,5,Male,Married,28,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,14808,15,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Collision
7165,Oct,2,Thursday,Honda,Urban,Wednesday,Nov,2,Male,Single,35,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,7166,12,400,3,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision
4132,Jul,3,Sunday,Pontiac,Urban,Friday,Jul,4,Male,Single,28,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,4133,11,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
3856,May,4,Saturday,Honda,Urban,Tuesday,May,4,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,3857,3,400,1,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils
12497,Jul,3,Saturday,Pontiac,Urban,Monday,Jul,3,Male,Married,30,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,12498,13,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Collision
3591,Dec,1,Friday,Honda,Urban,Friday,Dec,4,Male,Married,52,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3592,7,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,3 to 5,4 to 8 years,2 vehicles,1994,Collision
9502,Mar,5,Friday,Toyota,Urban,Saturday,Apr,1,Male,Married,50,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9503,9,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Liability
15151,Jul,3,Wednesday,Toyota,Urban,Thursday,Jul,3,Male,Married,53,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,15152,10,400,1,more than 30,more than 30,1,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,Liability
5364,Feb,2,Tuesday,Chevrolet,Urban,Tuesday,Feb,2,Male,Married,45,Policy Holder,Utility - Collision,Utility,more than 69000,0,5365,7,400,3,more than 30,more than 30,1,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision
1144,Aug,1,Monday,Pontiac,Urban,Monday,Aug,1,Male,Married,34,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1145,1,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
13229,Jun,5,Friday,Chevrolet,Urban,Monday,Jul,1,Female,Single,64,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,13230,11,400,2,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1996,Collision
9788,Nov,5,Tuesday,Toyota,Urban,Wednesday,Dec,4,Male,Single,21,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,9789,13,400,4,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils
10826,Mar,2,Tuesday,Mazda,Urban,Thursday,Mar,2,Female,Married,35,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,10827,5,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils
13743,Jan,2,Wednesday,Pontiac,Urban,Friday,Jan,3,Male,Married,54,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,13744,3,400,3,more than 30,more than 30,1,6 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils
746,Mar,1,Saturday,Toyota,Urban,Monday,Mar,1,Male,Single,32,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,747,15,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
8523,Oct,4,Thursday,Pontiac,Urban,Friday,Oct,4,Male,Married,28,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,8524,12,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils
6757,Feb,1,Saturday,Toyota,Rural,Monday,Feb,1,Male,Married,31,Third Party,Sedan - Liability,Sport,20000 to 29000,0,6758,1,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability
9509,Jan,4,Sunday,Toyota,Urban,Monday,Jan,5,Male,Married,38,Policy Holder,Sedan - Liability,Sport,30000 to 39000,1,9510,11,400,2,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability
14789,Sep,2,Sunday,Toyota,Urban,Monday,Sep,2,Male,Single,28,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,14790,7,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Liability
12268,Oct,3,Tuesday,Pontiac,Urban,Monday,Oct,4,Male,Single,27,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,12269,7,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,All Perils
9995,Feb,2,Thursday,Pontiac,Urban,Friday,Feb,2,Male,Single,40,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,9996,7,400,1,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
10604,Aug,3,Monday,Pontiac,Urban,Monday,Aug,4,Male,Married,27,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,10605,15,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils
12968,Nov,5,Monday,Toyota,Urban,Thursday,Dec,3,Male,Single,25,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12969,4,400,2,more than 30,more than 30,1,3 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1996,Collision
1622,Jun,4,Tuesday,Chevrolet,Urban,Friday,Jul,2,Male,Married,53,Policy Holder,Utility - Collision,Utility,more than 69000,0,1623,15,400,1,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
2299,Jun,1,Tuesday,Honda,Urban,Thursday,Jun,2,Male,Single,16,Third Party,Sport - Collision,Sport,more than 69000,0,2300,4,400,2,more than 30,more than 30,1,3 years,18 to 20,No,No,External,none,no change,1 vehicle,1994,Collision
8300,Dec,4,Wednesday,Honda,Urban,Friday,Dec,5,Male,Married,78,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8301,4,400,4,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,none,no change,1 vehicle,1995,Liability
11344,Apr,1,Thursday,Pontiac,Urban,Tuesday,Apr,2,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,11345,7,400,1,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision
10128,Oct,3,Saturday,Mazda,Urban,Tuesday,Oct,3,Male,Married,53,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,10129,5,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Collision
4156,Mar,3,Thursday,Mazda,Urban,Thursday,Mar,3,Male,Single,42,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,4157,6,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
13343,Jan,1,Wednesday,Pontiac,Urban,Thursday,Jan,1,Male,Single,50,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,13344,1,400,1,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,Liability
9678,Jun,4,Thursday,Accura,Urban,Friday,Jun,4,Male,Married,38,Policy Holder,Utility - All Perils,Utility,more than 69000,0,9679,8,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils
7152,Aug,3,Saturday,Pontiac,Urban,Monday,Sep,1,Male,Married,54,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,7153,3,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision
14888,Jul,1,Saturday,Pontiac,Urban,Wednesday,Jul,1,Male,Married,40,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,14889,9,400,3,more than 30,more than 30,1,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1996,Collision
3187,Sep,3,Friday,Chevrolet,Urban,Tuesday,Sep,4,Male,Married,38,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3188,12,400,4,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
1160,Feb,2,Sunday,Pontiac,Urban,Friday,Feb,3,Male,Single,27,Third Party,Sedan - Liability,Sport,30000 to 39000,0,1161,6,400,1,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
1381,Sep,2,Sunday,Toyota,Urban,Wednesday,Sep,3,Male,Single,22,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1382,3,400,4,more than 30,more than 30,2 to 4,3 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
2145,May,4,Monday,Honda,Urban,Friday,May,4,Female,Single,37,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,2146,16,400,2,more than 30,more than 30,none,5 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
15247,Jun,3,Saturday,Chevrolet,Urban,Wednesday,Jun,4,Male,Married,36,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,15248,13,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,Internal,none,no change,1 vehicle,1996,Collision
14527,May,1,Wednesday,Chevrolet,Urban,Thursday,May,1,Female,Married,34,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,14528,15,400,2,more than 30,more than 30,2 to 4,4 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,All Perils
9498,Mar,4,Saturday,Pontiac,Urban,Wednesday,Mar,5,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9499,10,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision
8752,Jan,4,Monday,Honda,Urban,Tuesday,Jan,4,Male,Married,26,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,8753,8,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
2552,Aug,1,Saturday,Pontiac,Rural,Monday,Aug,2,Female,Single,34,Third Party,Sedan - All Perils,Sedan,more than 69000,0,2553,16,400,3,more than 30,more than 30,1,6 years,31 to 35,Yes,Yes,External,none,no change,1 vehicle,1994,All Perils
5946,Oct,1,Wednesday,Toyota,Rural,Thursday,Oct,1,Female,Single,27,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,5947,4,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
15053,Jun,2,Thursday,Pontiac,Urban,Thursday,Jun,3,Female,Single,30,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,15054,6,400,4,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision
9957,Feb,3,Thursday,Pontiac,Urban,Friday,Feb,3,Male,Married,76,Third Party,Sedan - All Perils,Sedan,less than 20000,0,9958,13,400,3,more than 30,more than 30,none,7 years,over 65,No,Yes,External,none,no change,1 vehicle,1995,All Perils
8242,Aug,1,Friday,Pontiac,Urban,Wednesday,Aug,4,Male,Married,39,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,8243,2,400,4,more than 30,more than 30,none,5 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils
5862,Oct,5,Friday,Honda,Urban,Thursday,Nov,2,Male,Married,54,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,5863,10,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
8169,Sep,5,Friday,Pontiac,Urban,Monday,Oct,1,Male,Single,25,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8170,5,400,3,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,4 to 8 years,2 vehicles,1995,Liability
6233,Oct,4,Saturday,Chevrolet,Urban,Monday,Oct,4,Male,Single,60,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,6234,13,400,4,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1995,Liability
7126,Mar,1,Wednesday,Mazda,Urban,Wednesday,Mar,1,Female,Single,38,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,7127,4,400,4,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Liability
950,Aug,1,Friday,Toyota,Urban,Monday,Aug,2,Male,Single,42,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,951,7,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
9768,Sep,3,Monday,Mazda,Rural,Thursday,Sep,4,Male,Single,22,Third Party,Sedan - Liability,Sport,30000 to 39000,0,9769,5,400,1,more than 30,more than 30,more than 4,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1995,Liability
3977,May,1,Friday,Mazda,Urban,Wednesday,May,2,Male,Single,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3978,5,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,3 to 4,1994,Liability
14995,Dec,4,Wednesday,Honda,Urban,Friday,Dec,5,Male,Married,48,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,14996,11,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1996,Collision
7306,Jun,3,Monday,Toyota,Urban,Wednesday,Jun,4,Male,Married,45,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,7307,7,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision
4117,Aug,4,Monday,Pontiac,Urban,Tuesday,Aug,4,Male,Married,32,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,4118,10,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
9752,Apr,4,Thursday,Toyota,Urban,Wednesday,Apr,4,Male,Married,42,Third Party,Sedan - All Perils,Sedan,more than 69000,0,9753,2,400,3,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils
12222,May,3,Monday,Honda,Urban,Tuesday,May,3,Male,Single,80,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,12223,14,400,1,more than 30,more than 30,none,more than 7,over 65,No,No,External,3 to 5,4 to 8 years,2 vehicles,1996,All Perils
6576,Oct,2,Saturday,Honda,Urban,Monday,Oct,3,Female,Single,33,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,6577,16,400,2,more than 30,more than 30,1,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils
4210,Dec,3,Saturday,Toyota,Urban,Thursday,Dec,5,Female,Single,37,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,4211,10,400,3,more than 30,more than 30,none,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
2243,Feb,3,Thursday,Ford,Rural,Thursday,Mar,3,Male,Married,48,Policy Holder,Utility - All Perils,Utility,more than 69000,0,2244,11,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils
11525,Dec,2,Monday,Toyota,Urban,Tuesday,Dec,2,Male,Single,26,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,11526,8,400,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Collision
7685,Dec,2,Saturday,Mazda,Rural,Monday,Dec,2,Female,Divorced,38,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,7686,13,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision
8243,Sep,4,Wednesday,Honda,Urban,Thursday,Sep,5,Male,Married,35,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,8244,12,400,2,8 to 15,8 to 15,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision
1936,Jan,4,Saturday,Pontiac,Rural,Wednesday,Apr,3,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1937,13,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
4490,Nov,4,Thursday,Pontiac,Urban,Monday,Nov,4,Female,Widow,34,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,4491,11,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
575,Sep,4,Friday,Mazda,Urban,Friday,Sep,4,Male,Single,33,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,576,8,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
2405,May,5,Sunday,Chevrolet,Rural,Tuesday,May,5,Male,Single,21,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,2406,6,400,3,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
4705,Apr,1,Saturday,Mazda,Urban,Friday,Apr,5,Female,Single,35,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,4706,5,400,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
4979,Mar,1,Wednesday,Chevrolet,Urban,Wednesday,Mar,2,Male,Married,40,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,4980,6,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
6012,Oct,2,Saturday,Mazda,Urban,Wednesday,Oct,4,Female,Married,41,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,6013,13,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
11617,Jan,4,Thursday,Toyota,Urban,Friday,Nov,1,Male,Married,41,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,11618,7,400,3,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils
4014,May,5,Monday,Toyota,Rural,Monday,May,5,Male,Single,33,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,4015,2,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
4794,Dec,4,Friday,Chevrolet,Urban,Thursday,Dec,5,Male,Married,32,Third Party,Sedan - Collision,Sedan,20000 to 29000,1,4795,9,500,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,2 to 3 years,1 vehicle,1994,Collision
4916,Apr,3,Tuesday,Chevrolet,Urban,Wednesday,May,5,Male,Married,48,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,4917,16,400,3,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,Internal,more than 5,no change,1 vehicle,1994,Collision
7241,May,3,Sunday,Toyota,Urban,Thursday,Jul,4,Male,Married,35,Third Party,Sedan - Liability,Sport,20000 to 29000,0,7242,5,400,2,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability
11294,Jun,1,Sunday,Mazda,Urban,Wednesday,Jun,3,Male,Single,22,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,11295,8,400,2,more than 30,more than 30,1,4 years,26 to 30,No,No,External,none,no change,1 vehicle,1995,All Perils
10810,Nov,2,Wednesday,Ford,Urban,Tuesday,Nov,3,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,10811,1,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Collision
6290,Jul,4,Tuesday,Ford,Urban,Wednesday,Aug,2,Male,Married,58,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,6291,6,400,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils
2202,Mar,4,Monday,Toyota,Urban,Monday,Mar,5,Male,Married,33,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,2203,16,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
